category,gi,gl,name
food,35,15,"Barley, pearled, boiled 60 min "
food,22,9,"Barley, pearled "
food,22,9,Barley
food,27,11,Barley 
food,29,12,"Barley, pearled  "
food,37,16,Barley (Hordeum vulgare)
food,50,21,"Barley, cracked (Malthouth, Tunisia)"
food,66,25,"Barley, rolled"
food,20,8,"Barley kernels, high-amylose (hull-less) boiled in water for 25 min (kernel:water = 1:2.5)"
food,22,9,"Barley kernels, waxy (hull-less), boiled in water for 25 min (kernel:water = 1:2.5)"
food,25,10,"Barley kernels, boiled in water for 25 min (kernel:water = 1:2)"
food,26,11,"Barley kernels, high-amylose (covered), boiled in water for 25 min (kernel:water = 1:2)"
food,25,11,"Barley, pot, boiled in salted water 20 min"
food,35,15,"Barley, pot, boiled"
food,37,16,"Barley, pot, boiled 20 min"
food,48,20,Barley (Hordeum vulgare) 
food,59,8,"Maize/corn (Zea Mays), flour made into chapatti "
food,68,9,Cornmeal porridge 
food,68,9,"Cornmeal, boiled in salted water 2 min"
food,69,8,Cornmeal + margarine
food,45,20,Capellini pasta
food,61,29,"Fusilli pasta twists, boiled 10 min in salted water"
food,54,26,"Fusilli pasta twists, dry pasta, boiled in 10 min in unsalted water"
food,51,23,"Fusilli pasta twists, tricolour, dry pasta, boiled 10 min in unsalted water "
food,55,23,"Fusilli pasta twists, wholewheat, dry pasta, boiled 10 min in unsalted water"
food,55,26,"Lasagne sheets, dry pasta, boiled in unsalted water for 10 min"
food,53,23,"Lasagne, egg, dry pasta, boiled in unsalted water for 10 min "
food,52,23,"Lasagne, egg, verdi, dry pasta, boiled in unsalted water for 10 min"
food,58,29,"Wholemeal pasta, dark durum wheat, boiled 10 min in salted water"
food,43,19,"Spirali pasta, durum wheat, white, boiled to al denté texture, Vetta™"
food,46,20,"Tagliatelle, egg pasta, boiled in water for 7 min "
food,35,16,"Vermicelli pasta, white, boiled, Vetta™"
food,28,0,"Fusilli pasta twists, boiled 10 min in salted water, served with canned tuna "
food,27,0,"Fusilli pasta twists, boiled 10 min in salted water, served with cheddar cheese"
food,40,0,"Fusilli pasta twists, boiled 10 min in salted water, served with chilli con carne "
food,68,31,"Corn pasta, gluten-free, Orgran brand"
food,78,32,"Corn pasta, gluten-free, Orgran brand"
food,28,14,"Proti pasta, protein-enriched, boiled in water"
food,29,9,"Split pea and soya pasta shells, gluten-free, Orgran brand"
food,23,10,"Pasta bake, tomato and mozzarella "
food,42,20,"Spaghetti, white, boiled"
food,45,22,"Spaghetti, white, boiled"
food,76,30,"Long Grain rice, white, Golden Crown brand"
food,89,36,"Medium Grain rice, white, Double Ram brand"
food,75,30,"Medium Grain rice, white, Double Ram brand"
food,89,36,"Medium Grain rice, white, SunRice brand (Product of Australia)"
food,75,30,"Medium Grain rice, white, SunRice brand (Product of Australia)"
food,76,30,"Premium Long Grain rice, white, SunRice brand (Product of Australia)"
food,37,10,Slim Fast™ French Vanilla ready-to-drink shake
food,39,5,"Aussie Bodies Trim Protein Shake, Chocolate flavoured beverage"
food,41,5,"Aussie Bodies Trim Protein Shake, French Vanilla flavoured beverage"
food,27,8,"Cinch™ Café Latte weight management beverage powder, prepared with skim milk"
food,16,5,"Cinch™ Chocolate weight management beverage powder, prepared with skim milk"
food,22,6,"Cinch™ Vanilla weight management beverage powder, prepared with skim milk"
food,26,4,"Nutrimeal™, meal replacement drink, Dutch Chocolate"
food,20,4,"Nutrimeal™, meal replacement drink, all flavours"
food,30,4,"All-Bran™ breakfast cereal (high-fiber, extruded wheat bran cereal)"
food,38,8,"All-Bran™ breakfast cereal (high-fiber, extruded wheat bran cereal)"
food,51,12,"All-Bran™ breakfast cereal (high-fiber, extruded wheat bran cereal)"
food,55,12,"All-Bran™ breakfast cereal (high-fiber, extruded wheat bran cereal)"
food,41,7,All-Bran Fruit 'n Oats™ breakfast cereal
food,33,4,All-Bran Soy 'n fiber™ breakfast cereal
food,60,12,All-Bran Wheat Flakes™ breakfast cereal
food,74,17,Balance™ breakfast cereal consumed with 150 mL semi-skimmed milk
food,69,14,Barley flakes breakfast cereal
food,46,15,"Barley flour porridge breakfast cereal, made from milled dehulled barley kernels (flour:water = 1:3) boiled for 2.5 min"
food,39,11,"Barley flour porridge breakfast cereal, made from milled high-amylose (covered) barley kernels (flour:water = 1:3), boiled for 2.5 min"
food,62,17,"Barley porridge breakfast cereal, made from steamed thin (0.5 mm) dehulled barley flakes"
food,65,18,"Barley porridge breakfast cereal, made from steamed thick (1.0 mm) dehulled barley flakes"
food,68,23,"Wholemeal barley flour porridge breakfast cereal (100% regular barley) (flour:water = 1:3), boiled 2.5 min"
food,55,9,Wholemeal high-fiber barley flour porridge breakfast cereal (50% barley flour: 50% high-fiber barley flour)
food,43,5,"Bran cereal, high fiber breakfast cereal"
food,50,10,Branflakes breakfast cereal
food,65,12,"Bran Flakes breakfast cereal, President's Choice® Blue Menu™"
food,74,13,Bran Flakes™ breakfast cereal
food,70,17,"Chocapic™ breakfast cereal, wheat-based flaked cereal"
food,74,19,"Chocapic™ breakfast cereal, wheat-based flaked cereal"
food,84,22,"Chocapic™ breakfast cereal, wheat-based flaked cereal"
food,77,20,Coco Pops™ breakfast cereal (cocoa flavored puffed rice)
food,77,20,Coco Pops™ breakfast cereal (cocoa flavored puffed rice)
food,74,19,Cornflakes breakfast cereal
food,77,19,Cornflakes™ breakfast cereal
food,79,20,Cornflakes breakfast cereal
food,80,21,Cornflakes™ breakfast cereal
food,93,23,Cornflakes breakfast cereal consumed with 150 mL semi-skimmed milk
food,72,17,"Cornflakes, Crunchy Nut™ breakfast cereal"
food,80,21,Corn Pops™ breakfast cereal
food,80,20,"Energy Mix™ breakfast cereal, wheat-based flaked cereal"
food,56,6,"Fibre First Multi-Bran Cereal, President's Choice® Blue Menu™"
food,69,18,Froot Loops™ breakfast cereal
food,55,14,"Frosties™, sugar-coated cornflakes breakfast cereal"
food,61,13,Fruit and Fibre™ breakfast cereal consumed with 150 mL semi-skimmed milk
food,67,14,Fruit and Fibre breakfast cereal
food,68,13,Fruit and Fibre breakfast cereal
food,113,25,"Fruity-Bix™ breakfast cereal, berry"
food,71,16,Golden Wheats™ breakfast cereal
food,63,14,"Granola Clusters breakfast cereal, Original, low fat, President's Choice® Blue Menu™"
food,70,15,"Granola Clusters breakfast cereal, Raisin & Almond, low fat, President's Choice® Blue Menu™"
food,75,16,Grapenuts™ breakfast cereal
food,37,5,Guardian™ breakfast cereal
food,66,12,Healthwise™ for bowel health breakfast cereal
food,52,9,"High-fiber cereal, breakfast cereal"
food,54,10,"Hi-Lite™ breakfast cereal, containing 55% rolled barley grains"
food,77,20,Honey Rice Bubbles™ breakfast cereal
food,71,16,Honey Smacks™ breakfast cereal
food,37,8,"Hot cereal, apple & cinnamon breakfast cereal"
food,25,5,"Hot cereal, unflavored breakfast cereal"
food,60,13,Just Right™ breakfast cereal
food,62,14,Just Right Just Grains™ breakfast cereal
food,65,16,Kashi Seven Whole Grain Puffs breakfast cereal
food,48,10,Komplete™ breakfast cereal
food,58,12,"Mini Wheats™, whole wheat breakfast cereal"
food,59,12,"Mini Wheats, whole wheat breakfast cereal consumed with 150 mL semi-skimmed milk"
food,72,15,"Mini Wheats™, whole wheat breakfast cereal, blackcurrant"
food,55,11,"Alpen original muesli, made from steamed rolled oats with dried fruit and nuts"
food,51,10,Bürgen® Fruit & Muesli
food,51,9,Bürgen® Soy-Lin™ Muesli
food,41,7,Bürgen® Rye Muesli
food,64,12,Muesli
food,66,16,Muesli
food,86,18,Muesli
food,67,14,"Muesli, fruit "
food,59,11,"Muesli, fruit and nut "
food,50,5,"Muesli, gluten-free with Psyllium"
food,64,13,"Muesli, Light, mixed berry & apple flavor, Special K brand"
food,54,10,"Muesli, Lite"
food,49,6,"Muesli, Morning Sun Natural Apricot & Almond"
food,40,8,"Muesli, Natural"
food,57,11,"Muesli, Natural"
food,62,11,"Muesli, Natural Style Original Swiss Formula"
food,48,7,"Muesli, Naytura Fruit and Nut"
food,52,9,"Muesli, Swiss Bircher"
food,56,9,"Muesli, Swiss Formula"
food,43,7,"Muesli, toasted"
food,65,11,"Muesli, toasted, with nuts"
food,56,10,"Muesli, wholewheat"
food,45,4,"Muesli, yeast & wheat free"
food,48,9,Vogel's Café Style Fibre-Rich Muesli
food,66,10,Nutrigrain™
food,84,2,"15 g Oat bran (containing 2 g ß-glucan), consumed  as a drink mixed with 41g glucose and water"
food,58,2,"30 g Oat bran (containing 4 g ß-glucan), consumed  as a drink mixed with 41g glucose and water"
food,64,2,"30 g Oat bran (containing 4 g ß-glucan), consumed  as a drink mixed with 41g glucose and water, frozen for 13 days and then thawed before consumption   "
food,64,2,"45 g Oat bran (containing 6 g ß-glucan), consumed as a drink mixed with 41g glucose and water "
food,77,13,Oat 'n Honey Bake™ breakfast cereal
food,59,11,"Oats, rolled, uncooked"
food,42,9,"Porridge, made from rolled oats and reduced fat milk"
food,49,11,"Porridge, made from rolled oats cooked for 20 min "
food,50,10,"Porridge oats, made from rolled oats"
food,51,11,"Traditional porridge oats, made from rolled oats"
food,52,17,"Porridge, made from steel-cut oats, cooked in water"
food,55,13,"Porridge, made from rolled oats"
food,57,11,Traditional Rolled Oats
food,57,14,"Old-Fashioned Steel Cut Oats, President's Choice® Blue Menu™"
food,58,12,"Porridge, made from rolled oats"
food,58,12,"Porridge, made from rolled oats "
food,63,19,"Porridge, made from rolled oats"
food,63,18,"Porridge, organic made from rolled oats"
food,63,20,"Porridge, made from rolled oats (Scottish)"
food,55,14,"Multi grain instant oatmeal, Regular and Cinnamon & Spice, President's Choice® Blue Menu™"
food,55,19,"Multigrain porridge, containing rolled oats, wheat, triticale, rye, barley and rice, cooked with water"
food,74,24,"Wholemeal oat flour porridge (flour:water = 1:3), boiled 2.5 min "
food,55,15,Oat porridge made from thick (1.0 mm) dehulled oat flakes
food,76,19,"Oat porridge made from 0.5-0.6 mm thick flakes, cooked for 10 min"
food,69,19,Oat porridge made from roasted thin (0.5 mm) dehulled oat flakes
food,50,14,Oat porridge made from roasted thick (1.0 mm) 
food,80,22,Oat porridge made from roasted and steamed thin (0.5 mm) dehulled oat flakes 
food,53,14,Oat porridge made from steamed thick (1.0 mm) dehulled oat flakes 
food,69,14,Instant porridge
food,82,20,"Instant oat porridge, cooked in microwave with water"
food,83,18,"Instant oatmeal porridge, made from packet "
food,83,30,Instant oat cereal porridge prepared with water 
food,80,17,Puffed Wheat breakfast cereal
food,61,12,Raisin Bran™ breakfast cereal
food,19,3,"Rice Bran breakfast cereal, extruded"
food,81,21,Rice Bubbles™
food,85,22,Rice Bubbles™ 
food,92,24,Rice Bubbles™
food,95,25,Rice Bubbles™
food,67,13,Shredded Wheat breakfast cereal
food,47,9,"Soy Crunch Multi-Grain Cereal, President's Choice® Blue Menu™"
food,54,11,Special K™ breakfast cereal
food,69,14,Special K™ breakfast cereal
food,84,20,"Special K™ breakfast cereal, made from rice"
food,60,12,"Soy Tasty™ breakfast cereal (flaked grains, soy nuts, dried fruit)"
food,49,12,"Soytana™ breakfast cereal, Vogel's, soy and linseed bran crunch with sultanas (20.1 g fiber per 100 g)"
food,64,12,Sultana Bran™
food,73,14,Sultana Bran™
food,41,5,"Ultra-bran™ breakfast cereal, Vogel's, soy and linseed extruded wheat bran cereal (30.2 g fiber per 100 g)"
food,50,10,Vogel's Cluster Crunch Classic breakfast cereal
food,43,8,"Vogel's Cluster Crunch, Honey Hazelnut breakfast cereal"
food,43,8,Wild Oats Cluster Crunch Hazelnut Chocolate breakfast cereal
food,72,18,Wheat-bites™ breakfast cereal
food,61,12,Vita-Brits™ wheat biscuits (plain flaked wheat)
food,68,13,Vita-Brits™ wheat biscuits (plain flaked wheat)
food,69,12,Weet-Bix™ wheat biscuits (plain flaked wheat)
food,69,12,Weet-Bix™ wheat biscuits (plain flaked wheat)
food,75,16,Weetabix™ wheat biscuits (plain flaked wheat) 
food,70,14,Whole wheat Goldies™ wheat biscuits (plain flaked wheat)
food,72,14,"Wheat based cereal biscuit, wheat biscuits (plain flaked wheat)"
food,68,14,"Good Start™, muesli wheat biscuits with additional ingredients"
food,61,10,Hi-Bran Weet-Bix™ wheat biscuits with extra wheat bran
food,57,9,Hi-Bran Weet-Bix™ with soy and linseed
food,72,15,Honey Goldies™ wheat biscuits with additional ingredients
food,70,14,"Lite-Bix™, wheat biscuits with additional ingredients, plain, no added sugar"
food,57,11,Oat bran Weet-Bix™ wheat biscuits with additional ingredients
food,65,13,Sultana Goldies™ wheat biscuits with additional ingredients
food,76,15,Branflakes consumed with 150 mL semi-skimmed milk
food,57,16,"Cereal flakes with fruit (30 g), consumed with 125 mL skim milk "
food,58,16,"Cocoa Crunch cereal (30 g), consumed with 125 mL skim milk "
food,65,16,"Cornflakes (Sainsbury's, UK) (30 g), consumed with 125 mL skim milk"
food,54,16,"Honey Crunch cereal (30 g), consumed with 125 mL skim milk "
food,43,11,"Hot oat cereal (30 g), berry flavor prepared with 125 mL skim milk"
food,40,9,"Hot oat cereal (30 g), cocoa flavor prepared with 125 mL skim milk"
food,47,12,"Hot oat cereal (30 g), fruit flavor prepared with 125 mL skim milk"
food,47,12,"Hot oat cereal (30 g), honey flavor prepared with 125 mL skim milk"
food,50,12,"Hot oat cereal (30 g), orchard fruit flavor prepared with 125 mL skim milk"
food,47,11,Hot oat cereal (30 g) prepared with 125 mL skim milk
food,40,9,Hot oat cereal (30 g) prepared with 125 mL skim milk
food,39,7,"Muesli, gluten-free with 1.5% fat milk (125 mL)"
food,60,11,"Muesli, Original, consumed with 125 mL semi-skimmed milk"
food,60,12,"Muesli, Swiss, consumed with 150 mL semi-skimmed milk"
food,49,9,"Muesli, Wheat free, consumed with 150 mL semi-skimmed milk"
food,40,9,"Porridge, jumbo oats, consumed with 150 mL semi-skimmed milk"
food,61,14,"Porridge, small oats, consumed with 150 mL semi-skimmed milk"
food,59,14,"Precise™, with 125 mL semi-skimmed milk"
food,80,20,"Rice Pops™, with 125 mL semi-skimmed milk"
food,46,12,"Cereal biscuit (30 g), cocoa flavor wheat biscuits consumed with 125 mL skim milk"
food,56,15,"Cereal biscuit (30 g), fruit flavor wheat biscuits consumed with 125 mL skim milk"
food,52,14,"Cereal biscuit (30 g), honey flavor wheat biscuits consumed with 125 mL skim milk"
food,47,12,"Cereal biscuit (30 g), wheat based biscuits consumed with 125 mL skim milk "
food,45,13,"Buckwheat groats, hydrothermally treated, dehusked, boiled 12 min"
food,65,9,"Couscous, rehydrated with hot water"
food,62,22,Millet porridge 
food,53,13,"Quinoa, cooked, refrigerated, reheated in microwave for 1.5 min"
food,69,36,"Arborio, risotto white rice, boiled, SunRice brand"
food,69,36,"Arborio, risotto white rice, boiled, SunRice brand"
food,43,16,"White rice, boiled, type not specified"
food,43,16,"White rice, boiled, type not specified"
food,72,30,"White rice, boiled, type not specified"
food,72,27,"White rice, boiled, type not specified, boiled in salted water"
food,72,27,"White rice, boiled, type not specified, boiled in salted water"
food,83,30,"White rice, boiled, type not specified"
food,83,30,"White rice, boiled, type not specified"
food,89,43,"White rice, boiled, type not specified, boiled 13 min "
food,89,43,"White rice, boiled, type not specified, boiled 13 min "
food,53,20,"White rice, type not specified, boiled in salted water, refrigerated 16-20 h, reheated"
food,53,20,"White rice, type not specified, boiled in salted water, refrigerated 16-20 h, reheated"
food,94,45,"White rice, type not specified, boiled 13 min, then baked 10 min "
food,94,45,"White rice, type not specified, boiled 13 min, then baked 10 min "
food,50,21,"Long grain rice, white, unconverted, boiled 15 min, Mahatma brand"
food,50,21,"Long grain rice, white, unconverted, boiled 15 min, Mahatma brand"
food,64,26,"Long grain rice, white, boiled 7 min, Star brand"
food,69,28,"Long grain rice, boiled, Star Brand"
food,68,25,"Long grain rice quick-cooking variety, parboiled 10 min cooking time"
food,68,25,"Long grain rice quick-cooking variety, parboiled 10 min cooking time"
food,75,28,"Long grain rice quick-cooking variety, parboiled, 20 min cooking time"
food,75,28,"Long grain rice quick-cooking variety, parboiled, 20 min cooking time"
food,52,19,"Long grain rice quick-cooking variety, white, pre-cooked, microwaved 2 min, Express Rice, plain"
food,52,19,"Long grain rice quick-cooking variety, white, pre-cooked, microwaved 2 min, Express Rice, plain"
food,76,44,"Long Grain White Rice in 90 Seconds, microwaved, SunRice brand"
food,76,44,"Long Grain White Rice in 90 Seconds, microwaved, SunRice brand"
food,75,29,"Medium grain white rice, quick-cooking variety, boiled 12 min, Sun Rice brand"
food,75,29,"Medium grain white rice, quick-cooking variety, boiled 12 min, Sun Rice brand"
food,69,23,Rice porridge 
food,88,13,Rice porridge 
food,88,13,Rice porridge 
food,19,3,"Rice porridge, made from rice bran "
food,42,14,"Rice porridge, made from black rice "
food,65,21,"Rice porridge, made from Sticky rice "
food,49,22,"American, easy-cook rice, consumed with 10 g margarine"
food,86,37,"Broken rice, white, cooked in rice cooker"
food,86,37,"Broken rice, white, cooked in rice cooker"
food,48,20,"Brown Rice, Uncle Ben's® Ready Whole Grain (pouch)"
food,48,20,"Brown Rice, Uncle Ben's® Ready Whole Grain (pouch)"
food,45,18,"Brown & Wild rice, Uncle Ben's® Ready Whole Grain Medley™ (pouch)"
food,45,18,"Brown & Wild rice, Uncle Ben's® Ready Whole Grain Medley™ (pouch)"
food,46,18,"Chicken Flavored Brown Rice, Uncle Ben's® Ready Whole Grain (pouch)"
food,46,18,"Chicken Flavored Brown Rice, Uncle Ben's® Ready Whole Grain (pouch)"
food,98,31,"Glutinous rice, white, cooked in rice cooker"
food,98,31,"Glutinous rice, white, cooked in rice cooker"
food,79,37,"Jasmine Fragrant rice, white, SunRice brand (Product of Australia)"
food,79,37,"Jasmine Fragrant rice, white, SunRice brand (Product of Australia)"
food,109,46,"Jasmine rice, white long grain, cooked in rice cooker"
food,49,21,"Long Grain and Wild, Jasmine rice, Uncle Ben's® Ready Rice (pouch)"
food,49,21,"Long Grain and Wild, Jasmine rice, Uncle Ben's® Ready Rice (pouch)"
food,54,17,Moolgiri white rice
food,48,22,"Original Long Grain, Jasmine rice, Uncle Ben's® Ready Rice (pouch)"
food,48,22,"Original Long Grain, Jasmine rice, Uncle Ben's® Ready Rice (pouch)"
food,59,46,"Red Raw rice, Sri Lankan, cooked in rice cooker"
food,51,21,"Roasted Chicken Flavored, Uncle Ben's® Ready Rice (pouch)"
food,48,18,"Santa Fe, Uncle Ben's® Ready Whole Grain Medley™ (pouch)"
food,51,22,"Spanish Style, Uncle Ben's® Ready Rice (pouch)"
food,48,17,"Vegetable Harvest, Uncle Ben's® Ready Whole Grain Medley™ (pouch)"
food,83,36,"Calrose, white low-amylose rice, medium grain, boiled"
food,87,37,"Sungold, Pelde, white low-amylose rice, parboiled"
food,88,38,Waxy (0-2% amylose) white low-amylose rice
food,93,40,"Pelde, white low-amylose rice"
food,48,19,"Doongara, white high-amylose rice, cooked in rice cooker, SunRice CleverRice™ brand"
food,48,19,"Doongara, white high-amylose rice, cooked in rice cooker, SunRice CleverRice™ brand"
food,50,20,"Doongara, white high-amylose rice, SunRice CleverRice™ brand"
food,54,21,"Doongara, white high-amylose rice, SunRice CleverRice™ brand (Product of Australia)"
food,54,21,"Doongara, white high-amylose rice, SunRice CleverRice™ brand"
food,64,25,"Doongara, white high-amylose rice, SunRice CleverRice™ brand"
food,51,20,"Doongara, white high-amylose rice, SunRice CleverRice™ brand (Product of Australia)"
food,43,18,"Basmati, white rice, boiled, with 10 g margarine"
food,52,15,"Basmati, white rice, boiled 12 min"
food,57,23,"Basmati, white rice, organic, boiled 10 min "
food,57,23,"Basmati, white rice, organic, boiled 10 min "
food,58,22,"Basmati, white rice, boiled, Mahatma brand"
food,65,25,"Basmati, white rice, boiled, SunRice brand (Product of Pakistan)"
food,59,23,"Basmati, white rice, boiled, SunRice brand (Product of Pakistan)"
food,69,28,"Basmati, white rice, boiled 8 min "
food,67,28,"Basmati, easy cook white rice, boiled 9 min "
